station_name,train_length,test_length,split_time,forecast_method,mape
HarborAveUpperNorthBridge,4032,672,1,pred_prophet,0.0941669673368596
JoseRizalBridgeNorth,24,4,1,pred_auto.arima,0.0613229717690694
JoseRizalBridgeNorth,24,4,1,pred_forecastHybrid,0.0340922196955681
JoseRizalBridgeNorth,24,4,1,pred_prophet,0.269350873906329
JoseRizalBridgeNorth,24,24,1,pred_auto.arima,0.0913315375746423
JoseRizalBridgeNorth,24,24,1,pred_forecastHybrid,0.0703189062915111
JoseRizalBridgeNorth,24,24,1,pred_prophet,0.158266999245447
JoseRizalBridgeNorth,24,168,1,pred_auto.arima,0.0598725746237849
JoseRizalBridgeNorth,24,168,1,pred_forecastHybrid,2.23923738341071
JoseRizalBridgeNorth,24,168,1,pred_prophet,1.63257772481
JoseRizalBridgeNorth,24,672,1,pred_auto.arima,0.137823050919235
JoseRizalBridgeNorth,24,672,1,pred_forecastHybrid,0.346774890917647
JoseRizalBridgeNorth,24,672,1,pred_prophet,2.50501772071269
JoseRizalBridgeNorth,168,4,1,pred_auto.arima,0.0977958774470185
JoseRizalBridgeNorth,168,4,1,pred_forecastHybrid,0.0157063554841641
JoseRizalBridgeNorth,168,4,1,pred_prophet,0.0666806905565276
JoseRizalBridgeNorth,168,24,1,pred_auto.arima,0.0502467348664269
JoseRizalBridgeNorth,168,24,1,pred_forecastHybrid,0.247936968023918
JoseRizalBridgeNorth,168,24,1,pred_prophet,0.0546706354688818
JoseRizalBridgeNorth,168,168,1,pred_auto.arima,0.0803972430233221
JoseRizalBridgeNorth,168,168,1,pred_forecastHybrid,0.0736759968791098
JoseRizalBridgeNorth,168,168,1,pred_prophet,0.448823302896165
JoseRizalBridgeNorth,168,672,1,pred_auto.arima,0.111871239905158
JoseRizalBridgeNorth,168,672,1,pred_forecastHybrid,0.403286566365476
JoseRizalBridgeNorth,168,672,1,pred_prophet,1.04169969832728
JoseRizalBridgeNorth,672,4,1,pred_auto.arima,0.0521989190892
JoseRizalBridgeNorth,672,4,1,pred_forecastHybrid,0.0515402527402075
JoseRizalBridgeNorth,672,4,1,pred_prophet,0.0182370829468246
JoseRizalBridgeNorth,672,24,1,pred_auto.arima,0.148721688070259
JoseRizalBridgeNorth,672,24,1,pred_forecastHybrid,0.0858338706228661
JoseRizalBridgeNorth,672,24,1,pred_prophet,0.0854616918524952
JoseRizalBridgeNorth,672,168,1,pred_auto.arima,0.15644101109718
JoseRizalBridgeNorth,672,168,1,pred_forecastHybrid,0.106807243146154
JoseRizalBridgeNorth,672,168,1,pred_prophet,0.323086976511502
JoseRizalBridgeNorth,672,672,1,pred_auto.arima,
JoseRizalBridgeNorth,672,672,1,pred_forecastHybrid,0.0841834289508505
JoseRizalBridgeNorth,672,672,1,pred_prophet,0.14549083032462
JoseRizalBridgeNorth,4032,4,1,pred_auto.arima,1.04636813258872
JoseRizalBridgeNorth,4032,4,1,pred_forecastHybrid,0.0143153044794268
JoseRizalBridgeNorth,4032,4,1,pred_prophet,0.0630823269512503
JoseRizalBridgeNorth,4032,24,1,pred_auto.arima,0.132048027892247
JoseRizalBridgeNorth,4032,24,1,pred_forecastHybrid,0.199223521285061
JoseRizalBridgeNorth,4032,24,1,pred_prophet,0.0246827350016203
JoseRizalBridgeNorth,4032,168,1,pred_auto.arima,0.308542538983469
JoseRizalBridgeNorth,4032,168,1,pred_forecastHybrid,0.12383398607058
JoseRizalBridgeNorth,4032,168,1,pred_prophet,0.0874905721155449
JoseRizalBridgeNorth,4032,672,1,pred_auto.arima,0.134818717557543
JoseRizalBridgeNorth,4032,672,1,pred_forecastHybrid,0.0713056193376056
